,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
12/26/2025,WALMART.COM         WALMART.COM         AR,3.06,"W7NTPN4ZMP8 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253600865170633,Merchandise & Supplies-Internet Purchase
12/26/2025,WALMART.COM         WALMART.COM         AR,38.41,"WSC1JB851JE 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253600866010027,Merchandise & Supplies-Internet Purchase
12/24/2025,CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,21.63,"CH_3SI3ETAC +14152360599
CLAUDE.AI SUBSCRIPTION
SAN FRANCISCO
CA
+14152360599",CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,731 SANSOME ST,"SAN FRANCISCO
CA",94111,UNITED STATES,320253590844201703,Merchandise & Supplies-Computer Supplies
12/23/2025,AplPay APPLE.COM/BILINTERNET CHARGE     CA,0.99,"MQQ6LDSHD5A RECORD STORE
AplPay APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",AplPay APPLE.COM/BILINTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,320253580813812570,Merchandise & Supplies-Internet Purchase
12/22/2025,WALMART.COM         WALMART.COM         AR,11.89,"WTPNGOBCG46 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253560752578794,Merchandise & Supplies-Internet Purchase
12/17/2025,MOBILE PAYMENT - THANK YOU,-821.00,"MOBILE PAYMENT - THANK YOU
",MOBILE PAYMENT - THANK YOU,,,,,320253520613219376,
12/17/2025,OBSIDIAN            OAKVILLE,5.00,"CH_3SFHBSLF +12262203323
OBSIDIAN
OAKVILLE
+12262203323",OBSIDIAN            OAKVILLE,"115 GEORGE ST
SUITE 350","OAKVILLE
ON",L6J 0A2,CANADA,320253510591920927,Merchandise & Supplies-Internet Purchase
12/16/2025,Southwest Airlines  DALLAS              TX,22.00,"7900411237  (214) 792 - 4223
MISC. CHARGE ORDER (MCO)/PREPAID TICKET AUTH.
Southwest Airlines
DALLAS
TX
Carrier : SOUTHWEST AIRLINES (MASTE
Passenger Name : ADHIKARI/SAKSHAM
Ticket Number : 5264303159063
Additional Info : MISC. CHARGE ORDER (MCO)/PREPAID TICKET AUTH.
From : SAN FRANCISCO INTL
To : AUSTIN ROBERT MUEL",Southwest Airlines  DALLAS              TX,PO BOX 36611,"DALLAS
TX",75235,UNITED STATES,320253500559650032,Travel-Airline
12/16/2025,Southwest Airlines  DALLAS              TX,138.48,"7900411237  (214) 792 - 4223
PASSENGER TICKET
Southwest Airlines
DALLAS
TX
Carrier : SOUTHWEST AIRLINES (MASTE
Passenger Name : ADHIKARI/SAKSHAM
Ticket Number : 5262113290930
Departure Day : 02/16
Additional Info : PASSENGER TICKET
From : SAN FRANCISCO INTL
To : AUSTIN ROBERT MUEL
Class : F",Southwest Airlines  DALLAS              TX,PO BOX 36611,"DALLAS
TX",75235,UNITED STATES,320253500559650016,Travel-Airline
12/16/2025,UNITED AIRLINES     HOUSTON             TX,129.49,"35091907    WWW.UNITED.COM
PASSENGER TICKET
UNITED AIRLINES
HOUSTON
TX
Carrier : UNITED AIRLINES
Passenger Name : ADHIKARI/SAKSHAM
Ticket Number : 01623570532883
Departure Day : 02/13
Additional Info : PASSENGER TICKET
From : AUSTIN ROBERT MUEL
To : SAN FRANCISCO INTL",UNITED AIRLINES     HOUSTON             TX,"HSCAC - 12TH
FLOOR 609 MAIN STREET","HOUSTON
TX",77002,UNITED STATES,320253510594763194,Travel-Airline
12/15/2025,MIDJOURNEY INC.     SOUTH SAN FRANCISCO CA,10.64,"CH_3SEOARJA +16503794800
MIDJOURNEY INC.
SOUTH SAN FRANCISCO
CA
+16503794800",MIDJOURNEY INC.     SOUTH SAN FRANCISCO CA,"611 GTWY BLVD
SUITE 120","SOUTH SAN FRANCISCO
CA",94080,UNITED STATES,320253500583609299,Merchandise & Supplies-Computer Supplies
12/11/2025,STRIPE-Z.AI         SINGAPORE           SG,6.00,"CH_3SD78GRP +8618600608944
STRIPE-Z.AI
SINGAPORE
SG
+8618600608944",STRIPE-Z.AI         SINGAPORE           SG,10 ANSON ROAD 26-03 INTERNATIONAL PLA,SINGAPORE,079903,SINGAPORE,320253450415612945,Merchandise & Supplies-Computer Supplies
12/10/2025,AplPay TST* TASTES OSAN MATEO           CA,12.58,"9YM9e6TMy00 6508218948
AplPay TST* TASTES ON THE FLY-NA 300691125
SAN MATEO
CA
Description : RESTAURANTS Price : 0.1258
6508218948",AplPay TST* TASTES OSAN MATEO           CA,"SAN FRANCISCO INTERNATION
TEMINL 2 INTL TERMINAL G","SAN FRANCISCO
CA",94128,UNITED STATES,320253440381817612,Restaurant-Restaurant
12/10/2025,WALMART.COM         WALMART.COM         AR,-3.97,"W9ENCCW9LQM 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253440381142780,Merchandise & Supplies-Internet Purchase
12/10/2025,WALMART.COM         WALMART.COM         AR,-3.94,"WS3R2V52LY9 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253440381099611,Merchandise & Supplies-Internet Purchase
12/10/2025,WALMART.COM         WALMART.COM         AR,-2.92,"WC7J4J28LR6 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253440381096478,Merchandise & Supplies-Internet Purchase
12/10/2025,WALMART.COM         WALMART.COM         AR,-2.06,"W3M9MMRIY5F 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253440381085685,Merchandise & Supplies-Internet Purchase
12/09/2025,AplPay NEWS & GIFTS ATLANTA             GA,7.99,"######YdoBI MISC/SPECIALTY RETAIL
AplPay NEWS & GIFTS SHOPS INTERNATIONAL AU
ATLANTA
GA
MISC/SPECIALTY RETAIL",AplPay NEWS & GIFTS ATLANTA             GA,3600 PRESIDENTIAL BLVD NEAR GATE 5,"AUSTIN
TX",78719-2363,UNITED STATES,320253440397276184,Merchandise & Supplies-General Retail
12/09/2025,AplPay NEWS & GIFTS ATLANTA             GA,21.16,"######Ydlx3 FAST FOOD RESTAURANT
AplPay NEWS & GIFTS SHOPS INTERNATIONAL AU
ATLANTA
GA
FAST FOOD RESTAURANT",AplPay NEWS & GIFTS ATLANTA             GA,"3600 PRESIDENTIAL BLVD
AUS AIRPORT","AUSTIN
TX",78719,UNITED STATES,320253440397240751,Restaurant-Bar & Café
12/09/2025,DFS SAN FRANCISCO INSAN FRANCISCO       CA,-81.40,"21614490693 3107836600
DFS SAN FRANCISCO INTERNA 000000001
SAN FRANCISCO
CA
Description : DUTY FREE STORE Price : 0.814
3107836600",DFS SAN FRANCISCO INSAN FRANCISCO       CA,"100 INT LOOP CONCOURSE
G GATE 91- COURTYARD 4","SAN FRANCISCO
CA",94128,UNITED STATES,320253440390484738,Merchandise & Supplies-General Retail
12/09/2025,DFS SAN FRANCISCO INSAN FRANCISCO       CA,81.40,"21614456089 3107836600
DFS SAN FRANCISCO INTERNA 000000001
SAN FRANCISCO
CA
Description : DUTY FREE STORE Price : 0.814
3107836600",DFS SAN FRANCISCO INSAN FRANCISCO       CA,"100 INT LOOP CONCOURSE
G GATE 91- COURTYARD 4","SAN FRANCISCO
CA",94128,UNITED STATES,320253440388528908,Merchandise & Supplies-General Retail
12/09/2025,DFS SAN FRANCISCO INSAN FRANCISCO       CA,103.40,"21615415790 3107836600
DFS SAN FRANCISCO INTERNA 000000001
SAN FRANCISCO
CA
Description : DUTY FREE STORE Price : 1.034
3107836600",DFS SAN FRANCISCO INSAN FRANCISCO       CA,"100 INT LOOP CONCOURSE
G GATE 91- COURTYARD 4","SAN FRANCISCO
CA",94128,UNITED STATES,320253440390600598,Merchandise & Supplies-General Retail
12/08/2025,HEROKU* NOV-10939585SAN FRANCISCO       CA,5.00,"CH_3SC9F4LZ +18006676389
HEROKU* NOV-109395850
SAN FRANCISCO
CA
+18006676389",HEROKU* NOV-10939585SAN FRANCISCO       CA,"3RD FLOOR
415 MISSION STREET","SAN FRANCISCO
CA",94105,UNITED STATES,320253420318894796,Other-Miscellaneous
12/08/2025,WALMART.COM         WALMART.COM         AR,45.72,"W8PU6Y04VCE 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253420319623745,Merchandise & Supplies-Internet Purchase
12/07/2025,WALMART.COM         WALMART.COM         AR,62.88,"WZLBBU6ONJ6 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253410288316949,Merchandise & Supplies-Internet Purchase
12/06/2025,AMAZON MARKEPLACE NA PA,69.24,"64EDFNYNPLO MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,320253420332255342,Merchandise & Supplies-Internet Purchase
12/06/2025,ETRAVELIUS          MIAMI,249.67,"207629813   TRAVEL AGENCY
PASSENGER TICKET
ETRAVELIUS
MIAMI
Carrier : Etraveli Flight Tickets
Passenger Name : Adhikari Saksham
Ticket Number : 207629813
Departure Day : 12/23
Additional Info : PASSENGER TICKET
From : KATHMANDU
To : BANGALORE
Class : Y
From : BANGALORE
To : BANGALORE
Class : Y",ETRAVELIUS          MIAMI,200 SOUTH BISCAYNE BLVD,"MIAMI
FL",33127,UNITED STATES,320253400264627226,Travel-Travel Agencies
12/06/2025,HOKKAIDO RAMEN & SUSSAN MARCOS          TX,47.82,"87400078    512-210-8099
HOKKAIDO RAMEN & SUSHI B
SAN MARCOS
TX
Description : FOOD/BEVERAGE Price : 0.00
512-210-8099",HOKKAIDO RAMEN & SUSSAN MARCOS          TX,243 WONDER WORLD DR STE 100,"SAN MARCOS
TX",78666,UNITED STATES,320253410304953561,Restaurant-Restaurant
12/05/2025,AplPay GRUBHUB*CHIPONEW YORK            NY,15.52,"3EB6VCXB    8775851085
AplPay GRUBHUB*CHIPOTLE
NEW YORK
NY
8775851085",AplPay GRUBHUB*CHIPONEW YORK            NY,"SUITE 2100
111 W WASHINGTON","CHICAGO
IL",60602,UNITED STATES,320253390225493679,Restaurant-Restaurant
12/05/2025,WALMART.COM         WALMART.COM         AR,3.31,"WTPMKNDNOCN 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253390247940437,Merchandise & Supplies-Internet Purchase
12/04/2025,AplPay APPLE.COM/BILINTERNET CHARGE     CA,1.07,"MQQ6H6ZWN3A RECORD STORE
AplPay APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",AplPay APPLE.COM/BILINTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,320253390228111022,Merchandise & Supplies-Internet Purchase
12/04/2025,AplPay TARGET       SAN MARCOS          TX,2.73,"001600871   612-3044357
AplPay TARGET        033357 09100033357
SAN MARCOS
TX
Description : SEE INVOICE Price : 0.0273
612-3044357",AplPay TARGET       SAN MARCOS          TX,"SUITE 200
101 CONCHO STREET","SAN MARCOS
TX",78666,UNITED STATES,320253390243486353,Merchandise & Supplies-Wholesale Stores
12/04/2025,WALMART.COM         WALMART.COM         AR,-4.34,"WGFO9JB5OJU 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253380199466788,Merchandise & Supplies-Internet Purchase
12/04/2025,WALMART.COM         WALMART.COM         AR,-3.91,"W07VK14NFR6 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253380199489906,Merchandise & Supplies-Internet Purchase
12/04/2025,WALMART.COM         WALMART.COM         AR,-2.77,"W9TIVKFIOLQ 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253380199459964,Merchandise & Supplies-Internet Purchase
12/03/2025,AplPay STARBUCKS    800-782-7282        WA,10.00,"1REC5CVZCYJ GIFT CARD
AplPay STARBUCKS
800-782-7282
WA
GIFT CARD",AplPay STARBUCKS    800-782-7282        WA,2401 UTAH AVE SOUTH STE 800,"SEATTLE
WA",98134,UNITED STATES,320253380212666988,Restaurant-Bar & Café
12/03/2025,WAL-MART SUPERCENTERSAN MARCOS          TX,-12.96,"53372006041 DISCOUNT STORE
WAL-MART SUPERCENTER 404 0404
SAN MARCOS
TX
DISCOUNT STORE",WAL-MART SUPERCENTERSAN MARCOS          TX,1015 HWY 80,"SAN MARCOS
TX",78666,UNITED STATES,320253370161343285,Merchandise & Supplies-Wholesale Stores
12/02/2025,A&A APPLIANCE LEASINROUND ROCK          TX,35.56,"CH_3SZSBODP +15125376250
A&A APPLIANCE LEASING
ROUND ROCK
TX
+15125376250",A&A APPLIANCE LEASINROUND ROCK          TX,1105 WONDER DR,"ROUND ROCK
TX",78681,UNITED STATES,320253360129267774,Merchandise & Supplies-Electronics Stores
12/02/2025,H-E-B #455 000000000SAN MARCOS          TX,22.75,"000793296   9999999999
H-E-B #455 000000000879355
SAN MARCOS
TX
9999999999",H-E-B #455 000000000SAN MARCOS          TX,200 WEST HOPKINS ST,"SAN MARCOS
TX",78666,UNITED STATES,320253370164137560,Merchandise & Supplies-Groceries
12/02/2025,PEDERNALES ELECTRIC JOHNSON CITY        TX,184.00,"00620519    888-554-4732
PEDERNALES ELECTRIC COOP R
JOHNSON CITY
TX
Description : UTILITY PROVIDER Price : 0.00
888-554-4732",PEDERNALES ELECTRIC JOHNSON CITY        TX,"201 SOUTH AVE
F","JOHNSON CITY
TX",78636,UNITED STATES,320253370177083158,Other-Utilities
12/01/2025,FLIXBUS.COM         DALLAS              TX,47.98,"######YJ8X9 BUS LINE
FLIXBUS.COM
DALLAS
TX
BUS LINE",FLIXBUS.COM         DALLAS              TX,FRIEDENHEIMER BRUECKE 16,"MUENCHEN
BY",80639,GERMANY,320253360143059114,Travel-Travel Agencies
12/01/2025,WALMART.COM         WALMART.COM         AR,41.81,"W9YHCSXLK67 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253350119638236,Merchandise & Supplies-Internet Purchase
11/30/2025,YSI*COUNTRY OAKS    SAN MARCOS          TX,257.38,"318851686   512-637-1689
YSI*COUNTRY OAKS
SAN MARCOS
TX
512-637-1689",YSI*COUNTRY OAKS    SAN MARCOS          TX,"500 NORTH CAPITAL OF TEXAS HWY
BLDG 7","AUSTIN
TX",78746,UNITED STATES,320253340059210124,Business Services-Other Services
11/28/2025,WALMART.COM         WALMART.COM         AR,3.33,"WF21U3ZHEAI 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253320016770396,Merchandise & Supplies-Internet Purchase
11/28/2025,WALMART.COM         WALMART.COM         AR,8.43,"WQYE0ZS798U 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253320016769687,Merchandise & Supplies-Internet Purchase
11/28/2025,WALMART.COM         WALMART.COM         AR,55.01,"WTPM9N4BE59 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253320016720576,Merchandise & Supplies-Internet Purchase
11/28/2025,WALMART.COM 80092562BENTONVILLE         AR,14.15,"WS3QGOFA98P 8009256278
WALMART.COM 8009256278 09920
BENTONVILLE
AR
Description : REFER TO RECEIPT Price : 0.00
8009256278",WALMART.COM 80092562BENTONVILLE         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253320010296632,Merchandise & Supplies-Internet Purchase
11/27/2025,BACK MARKET         BROOKLYN            NY,693.20,"######H3fcT USED MERCHANDISE
BACK MARKET
BROOKLYN
NY
USED MERCHANDISE",BACK MARKET         BROOKLYN            NY,100 BOGART ST,"BROOKLYN
NY",11206,UNITED STATES,320253310974917315,Merchandise & Supplies-Internet Purchase
11/27/2025,MOBILE PAYMENT - THANK YOU,-1000.00,"MOBILE PAYMENT - THANK YOU
",MOBILE PAYMENT - THANK YOU,,,,,320253310971009910,
11/27/2025,YOUR CASH REWARD/REFUND IS,-167.22,"YOUR CASH REWARD/REFUND IS
",YOUR CASH REWARD/REFUND IS,,,,,320253320027464535,Fees & Adjustments-Fees & Adjustments
11/26/2025,VISIBLE             LONE TREE           CO,25.00,"CBEX5AFH    8663313527
VISIBLE
LONE TREE
CO
8663313527",VISIBLE             LONE TREE           CO,10000 PARK MDWS DR,"LONE TREE
CO",80124,UNITED STATES,320253300950626471,Communications-Mobile Telecom
11/25/2025,H-E-B #455 000000000SAN MARCOS          TX,7.75,"000965392   9999999999
H-E-B #455 000000000879355
SAN MARCOS
TX
9999999999",H-E-B #455 000000000SAN MARCOS          TX,200 WEST HOPKINS ST,"SAN MARCOS
TX",78666,UNITED STATES,320253300945907638,Merchandise & Supplies-Groceries
11/25/2025,SHAI YO THAI CUISINESAN MARCOS          TX,50.00,"85180895330        USFC1SHAI78666
SHAI YO THAI CUISINE &
SAN MARCOS
TX
USFC1SHAI78666",SHAI YO THAI CUISINESAN MARCOS          TX,"700 NORTH LBJ DR
STE 109","SAN MARCOS
TX",78666-4657,UNITED STATES,320253300942580080,Restaurant-Restaurant
11/24/2025,CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,21.32,"CH_3SXBLLAC +14152360599
CLAUDE.AI SUBSCRIPTION
SAN FRANCISCO
CA
+14152360599",CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,731 SANSOME ST,"SAN FRANCISCO
CA",94111,UNITED STATES,320253290932211998,Merchandise & Supplies-Computer Supplies
11/23/2025,AplPay APPLE.COM/BILINTERNET CHARGE     CA,0.99,"MQQ6H2YYT5A RECORD STORE
AplPay APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",AplPay APPLE.COM/BILINTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,320253280887124374,Merchandise & Supplies-Internet Purchase
11/23/2025,WALMART.COM         WALMART.COM         AR,-4.34,"WFF9VCOA6GI 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253270859166840,Merchandise & Supplies-Internet Purchase
11/23/2025,WALMART.COM         WALMART.COM         AR,86.36,"W47QRKPF4MN 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253270852090397,Merchandise & Supplies-Internet Purchase
11/22/2025,AMAZON MARKEPLACE NA PA,36.72,"2RXTILPFLET MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,320253270868744568,Merchandise & Supplies-Internet Purchase
11/22/2025,AMAZON.COM          AMZN.COM/BILL       WA,43.29,"5QJMZW1V4ZD MERCHANDISE
AMAZON.COM
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON.COM          AMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,320253260826243429,Merchandise & Supplies-Internet Purchase
11/22/2025,UBER,8.69,"DBP4RQWM   P6OHMGHY         78666
Uber Trip
help.uber.com
CA
P6OHMGHY         78666",Uber Trip           help.uber.com       CA,"1455 MARKET ST
4TH FLOOR","SAN FRANCISCO
CA",94103,UNITED STATES,320253260832341967,Transportation-Taxis & Coach
11/22/2025,WAL-MART SUPERCENTERSAN MARCOS          TX,26.41,"53274025148 DISCOUNT STORE
WAL-MART SUPERCENTER 404 0404
SAN MARCOS
TX
DISCOUNT STORE",WAL-MART SUPERCENTERSAN MARCOS          TX,1015 HWY 80,"SAN MARCOS
TX",78666,UNITED STATES,320253270868389127,Merchandise & Supplies-Wholesale Stores
11/21/2025,AplPay APPLE.COM/BILINTERNET CHARGE     CA,1.07,"MQQ6FT1DJYA RECORD STORE
AplPay APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",AplPay APPLE.COM/BILINTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,320253250799302851,Merchandise & Supplies-Internet Purchase
11/21/2025,DOLLAR TREE 00000117SAN MARCOS          TX,14.07,"100404163828775308733
VARIETY STORES
DOLLAR TREE 000001172
SAN MARCOS
TX
VARIETY STORES
8775308733",DOLLAR TREE 00000117SAN MARCOS          TX,1050 MCKINLEY PLACE DR STE 100,"SAN MARCOS
TX",78666,UNITED STATES,320253260840004999,Merchandise & Supplies-Groceries
11/21/2025,GAP OUTLET US 7754  SAN MARCOS          TX,36.79,"077544022680775440226850001 78666
GAP OUTLET US 7754
SAN MARCOS
TX
0775440226850001 78666",GAP OUTLET US 7754  SAN MARCOS          TX,3939 IH-35 SOUTH,"SAN MARCOS
TX",78666,UNITED STATES,320253260845115446,Merchandise & Supplies-Clothing Stores
11/21/2025,LYFT                855-280-0278        CA,11.90,"CH_2SVYWXJB +18552800278
LYFT
855-280-0278
CA
+18552800278",LYFT                855-280-0278        CA,185 BERRY ST STE 5000,"SAN FRANCISCO
CA",94107,UNITED STATES,320253250795365587,Transportation-Taxis & Coach
11/21/2025,NIKEPOS_US          BEAVERTON,75.76,"00042002251 SPORTS CLOTHING
NIKEPOS_US
BEAVERTON
SPORTS CLOTHING",NIKEPOS_US          BEAVERTON,"3939 SOUTH INTERSTATE 35
STE 798","SAN MARCOS
TX",78666-5959,UNITED STATES,320253250798198779,Merchandise & Supplies-Sporting Goods Stores
11/20/2025,AplPay TARGET       SAN MARCOS          TX,1.58,"001606679   612-3044357
AplPay TARGET        033357 09100033357
SAN MARCOS
TX
Description : SEE INVOICE Price : 0.0158
612-3044357",AplPay TARGET       SAN MARCOS          TX,"SUITE 200
101 CONCHO STREET","SAN MARCOS
TX",78666,UNITED STATES,320253250815922970,Merchandise & Supplies-Wholesale Stores
11/19/2025,BACK MARKET         BROOKLYN            NY,350.63,"######GpbtG USED MERCHANDISE
BACK MARKET
BROOKLYN
NY
USED MERCHANDISE",BACK MARKET         BROOKLYN            NY,100 BOGART ST,"BROOKLYN
NY",11206,UNITED STATES,320253230739785935,Merchandise & Supplies-Internet Purchase
11/19/2025,"SHEIN US SERVICES, LKENT                DE",34.08,"######URDkF FAMILY CLOTHING
SHEIN US SERVICES, LLC._
KENT
DE
FAMILY CLOTHING","SHEIN US SERVICES, LKENT                DE","12 MARINA BOULEVARD
15-01 MBFC T3",SINGAPORE,018982,SINGAPORE,320253230739904623,Merchandise & Supplies-Clothing Stores
11/18/2025,MOBILE PAYMENT - THANK YOU,-1200.00,"MOBILE PAYMENT - THANK YOU
",MOBILE PAYMENT - THANK YOU,,,,,320253220730045031,
11/16/2025,OBSIDIAN.MD         OAKVILLE,5.00,"CH_3SU0XULF +12262203323
OBSIDIAN.MD
OAKVILLE
+12262203323",OBSIDIAN.MD         OAKVILLE,"115 GEORGE ST
SUITE 350","OAKVILLE
ON",L6J 0A2,CANADA,320253200668388703,Merchandise & Supplies-Internet Purchase
11/16/2025,WALMART.COM         WALMART.COM         AR,124.77,"W3KKVNLO345 800-925-6278
WALMART.COM
WALMART.COM
AR
Description : APPAREL HSWRS/ACC Price : 0.00
800-925-6278",WALMART.COM         WALMART.COM         AR,702 SOUTH WEST 8TH ST,"BENTONVILLE
AR",72712-6209,UNITED STATES,320253200651162947,Merchandise & Supplies-Internet Purchase
11/15/2025,MIDJOURNEY INC.     SOUTH SAN FRANCISCO CA,10.64,"CH_3STVQJJA +16503794800
MIDJOURNEY INC.
SOUTH SAN FRANCISCO
CA
+16503794800",MIDJOURNEY INC.     SOUTH SAN FRANCISCO CA,"611 GTWY BLVD
SUITE 120","SOUTH SAN FRANCISCO
CA",94080,UNITED STATES,320253200670754048,Merchandise & Supplies-Computer Supplies
11/14/2025,H-E-B #455 000000000SAN MARCOS          TX,23.39,"000468880   9999999999
H-E-B #455 000000000879355
SAN MARCOS
TX
9999999999",H-E-B #455 000000000SAN MARCOS          TX,200 WEST HOPKINS ST,"SAN MARCOS
TX",78666,UNITED STATES,320253190625519184,Merchandise & Supplies-Groceries
11/11/2025,STRIPE-Z.AI         SINGAPORE           SG,6.00,"CH_3SSEPORP +8618600608944
STRIPE-Z.AI
SINGAPORE
SG
+8618600608944",STRIPE-Z.AI         SINGAPORE           SG,10 ANSON ROAD 26-03 INTERNATIONAL PLA,SINGAPORE,079903,SINGAPORE,320253150516836965,Merchandise & Supplies-Computer Supplies
